Date,Open,High,Low,Close,Adj Close,Volume,P/N,Daily_Change,Daily_%_Change,Future_Change
1/2/2018,36.380001,36.52,36.240002,36.439999,33.580521,16185800,Positive,,,0.27
1/3/2018,36.450001,36.77,36.23,36.709999,33.82933,13456500,Positive,0.27,0.740944038,0.080002
1/4/2018,36.709999,36.919998,36.599998,36.790001,33.903053,12378100,Positive,0.080002,0.217929725,0.07
1/5/2018,36.82,36.880001,36.610001,36.860001,33.967556,12492900,Positive,0.07,0.19026909,-0.41
1/8/2018,36.720001,36.799999,36.330002,36.450001,33.589733,18941500,Positive,-0.41,-1.112316844,-0.040001
1/9/2018,36.439999,36.639999,36.360001,36.41,33.552876,16011600,Positive,-0.040001,-0.109742109,0.060001
1/10/2018,36.34,36.610001,36.310001,36.470001,33.608166,17794900,Positive,0.060001,0.164792639,0.09
1/11/2018,36.639999,36.700001,36.419998,36.560001,33.691101,14328800,Positive,0.09,0.246778167,-0.02
1/12/2018,36.630001,36.799999,36.459999,36.540001,33.672668,19203700,Positive,-0.02,-0.054704594,0.059997
1/16/2018,36.57,36.98,36.470001,36.599998,33.727959,28972200,Negative ,0.059997,0.164195398,0.580002
1/17/2018,36.82,37.369999,36.77,37.18,34.262447,24034500,Positive,0.580002,1.584705005,-0.189998
1/18/2018,37.169998,37.169998,36.700001,36.990002,34.087357,18924600,Negative ,-0.189998,-0.511022055,-0.050003
1/19/2018,37.189999,37.279999,36.5,36.939999,34.041275,29538600,Positive,-0.050003,-0.135179771,-0.009999
1/22/2018,36.889999,37.07,36.73,36.93,34.03207,20285100,Positive,-0.009999,-0.027068219,-0.11
1/23/2018,36.82,37.080002,36.540001,36.82,33.930698,17578000,Positive,-0.11,-0.297860818,0.11
1/24/2018,36.990002,37.07,36.73,36.93,34.03207,17716500,Negative ,0.11,0.298750679,0.3
1/25/2018,36.970001,37.34,36.900002,37.23,34.308517,18015400,Negative ,0.3,0.812347685,1.779998
1/26/2018,37.299999,39.09,37.299999,39.009998,35.948849,48805900,Positive,1.779998,4.781085146,0.010002
1/29/2018,39,39.43,38.77,39.02,35.958061,34894700,Negative ,0.010002,0.025639581,-1.220001
1/30/2018,38.209999,38.75,37.349998,37.799999,34.833801,45999700,Negative ,-1.220001,-3.126604305,-0.759998
1/31/2018,37.919998,37.990002,36.830002,37.040001,34.133434,34022700,Negative ,-0.759998,-2.010576773,-0.209999
2/1/2018,36.610001,37.400002,36.610001,36.830002,34.254349,28176400,Positive,-0.209999,-0.566951929,-0.220001
2/2/2018,36.599998,37.25,36.509998,36.610001,34.049728,24277900,Negative ,-0.220001,-0.597341808,-1.940003
2/5/2018,36.48,36.700001,34,34.669998,32.245396,40288100,Negative ,-1.940003,-5.299106657,0.610001
2/6/2018,34.16,35.48,34,35.279999,32.812737,53164200,Positive,0.610001,1.759449193,-0.299999
2/7/2018,35.130001,35.650002,34.970001,34.98,32.533718,29370000,Negative ,-0.299999,-0.850337326,-1.349999
2/8/2018,35,35.169998,33.599998,33.630001,31.278133,43501700,Negative ,-1.349999,-3.85934534,0.529999
2/9/2018,34.189999,34.43,33.200001,34.16,31.771065,47297700,Positive,0.529999,1.575970812,0.5
2/12/2018,34.450001,34.869999,34.029999,34.66,32.236103,36758700,Positive,0.5,1.463700234,0.279999
2/13/2018,34.57,35.029999,34.41,34.939999,32.496517,20455000,Positive,0.279999,0.807844778,0.25
2/14/2018,34.700001,35.34,34.560001,35.189999,32.729034,23239800,Positive,0.25,0.715512327,0.52
2/15/2018,35.369999,35.73,35.080002,35.709999,33.212666,21431100,Positive,0.52,1.477692568,0.549999
2/16/2018,35.759998,36.66,35.68,36.259998,33.724201,26242500,Positive,0.549999,1.540182065,-0.25
2/20/2018,36.02,36.490002,35.880001,36.009998,33.491684,25808700,Negative ,-0.25,-0.689465013,-0.25
2/21/2018,35.970001,36.59,35.73,35.759998,33.259171,24546800,Negative ,-0.25,-0.694251635,-0.019996
2/22/2018,35.869999,36.150002,35.610001,35.740002,33.240574,22754700,Negative ,-0.019996,-0.055917229,0.519996
2/23/2018,35.93,36.299999,35.830002,36.259998,33.724201,17020900,Positive,0.519996,1.454941161,0.830002
2/26/2018,36.290001,37.209999,36.209999,37.09,34.496162,24105600,Positive,0.830002,2.28902936,-0.290001
2/27/2018,37.07,37.240002,36.740002,36.799999,34.226437,22336900,Negative ,-0.290001,-0.781884605,-0.489998
