,Date,Open Price,Day High,Day Low,Close Price,P/N,Negative Value,Positive Value,Neutral Value
0,2019-01-02,24.08,25.139999,24.01,24.959999,Positive,0.05366666666666667,0.191,0.7553333333333333
1,2019-01-03,24.940001,25.040001,24.450001,24.559999,Negative ,0.051,0.1607777777777778,0.7883333333333333
2,2019-01-04,25.1,25.65,25.030001,25.58,Positive,0.03357142857142857,0.18342857142857144,0.7830000000000001
3,2019-01-07,25.559999,25.780001,25.290001,25.559999,Positive,0.15083333333333335,0.1175,0.7316666666666668
4,2019-01-08,25.719999,25.790001,25.09,25.51,Positive,0.054200000000000005,0.29900000000000004,0.6466
5,2019-01-09,25.67,25.85,25.389999,25.76,Positive,0.038142857142857145,0.149,0.8128571428571428
6,2019-01-10,25.559999,25.780001,25.42,25.73,Positive,0.1184705882352941,0.15788235294117647,0.7235294117647059
7,2019-01-11,25.530001,26.040001,25.459999,26.030001,Positive,0.0742142857142857,0.14542857142857146,0.7803571428571427
8,2019-01-14,25.77,26.48,25.610001,26.370001,Positive,0.08628000000000002,0.1186,0.7951600000000001
9,2019-01-15,26.209999,26.809999,26.049999,26.549999,Positive,0.09794736842105264,0.14147368421052633,0.7604736842105262
10,2019-01-16,28.129999,28.719999,27.860001,28.450001,Positive,0.154,0.1065,0.7395
11,2019-01-17,28.34,29.0,28.09,28.99,Positive,0.20266666666666666,0.162,0.6353333333333334
12,2019-01-18,29.02,29.459999,28.709999,29.299999,Positive,0.10693333333333334,0.09919999999999997,0.7938666666666666
13,2019-01-22,28.98,29.299999,28.889999,29.09,Negative ,0.08338461538461539,0.15776923076923074,0.7588461538461538
14,2019-01-23,29.219999,29.280001,28.620001,28.92,Negative ,0.10275,0.103375,0.793875
15,2019-01-24,28.75,29.200001,28.74,29.08,Positive,0.071,0.12769999999999998,0.8013
16,2019-01-25,29.280001,29.719999,29.139999,29.58,Positive,0.12875,0.10375,0.7675000000000001
17,2019-01-28,29.32,29.67,29.290001,29.629999,Negative ,0.07400000000000001,0.16257142857142856,0.7635714285714286
18,2019-01-29,29.540001,29.700001,29.34,29.389999,Negative ,0.14400000000000002,0.10266666666666667,0.7533333333333333
19,2019-01-30,29.42,29.469999,28.950001,29.07,Positive,0.13375,0.12925,0.7368333333333333
20,2019-01-31,28.75,28.84,27.98,28.469999,Positive,0.10676470588235294,0.09835294117647056,0.7948823529411764
21,2019-02-01,28.6,28.84,28.309999,28.379999,Positive,0.09441666666666666,0.16366666666666665,0.7419166666666667
22,2019-02-04,28.469999,28.969999,28.42,28.879999,Positive,0.0,0.146,0.8540000000000001
23,2019-02-05,28.85,28.879999,28.57,28.780001,Positive,0.0695,0.10825,0.82225
24,2019-02-06,28.67,28.9,28.540001,28.73,Negative ,0.0,0.0,1.0
